city,name,street,tags,zipcode,full_address,latlon,missing
Sint Amandsberg,De Goede Zaak,Emiel Maeyensstraat 22,['Cateraar'],9040,Emiel Maeyensstraat 22 9040 Sint Amandsberg,"(51.06957803591319, 3.7635292331689936)",False
Hasselt,De Goei Goesting,Zuivelmarkt 18,['Eethuis'],3500,Zuivelmarkt 18 3500 Hasselt,"(50.93102549898484, 5.339684217368552)",False
Oostende,De Graankorrel,Edith Cavellstraat 86,"['Eethuis', '100% vegetarisch']",8400,Edith Cavellstraat 86 8400 Oostende,"(51.222225939314896, 2.9165273956225355)",False
Hasselt,De Groene Hendrickx,Zuivelmarkt 25,['Eethuis'],3500,Zuivelmarkt 25 3500 Hasselt,"(50.93124479935025, 5.340343160933796)",False
Gent,De Groene Waaier,Schoonmeersstraat 25,"['Cateraar', 'Gastronomisch', '100% vegetarisch', 'Veganvriendelijk']",9000,Schoonmeersstraat 25 9000 Gent,"(51.03032850175406, 3.7046331681886437)",False
nvriendelijk,De Grote post,Eethuis,[],Vega,Eethuis Vega nvriendelijk,,True
Zonhoven,De Hofmakerij vzw,Koningsbergweg 28,['Cateraar'],3520,Koningsbergweg 28 3520 Zonhoven,"(50.99571473267463, 5.409348523745904)",False
Brugge - Sint Kruis,De Jonkman,Maaltsesteenweg 438,"['Gastronomisch', 'Veganvriendelijk']",8310,Maaltsesteenweg 438 8310 Brugge - Sint Kruis,,True
Antwerpen,De Juliette,Ijzerenwaag 4,"['Cateraar', 'Snack']",2000,Ijzerenwaag 4 2000 Antwerpen,"(51.21670426391802, 4.400315653146848)",False
Zoersel,De Kadee,Handelslei 164,['Eethuis'],2980,Handelslei 164 2980 Zoersel,"(51.267449115996186, 4.640324090051692)",False
Gent,De Kastart,Onderbergen 42,['Eethuis'],9000,Onderbergen 42 9000 Gent,"(51.05200414637008, 3.7195864247758226)",False
